Date,Timepoint,Time,Calib.Date,Tank,Treatment,LifeStage,Temp_C,pH.MV,Salinity_ppt,Light_PAR,Conditions,Notes
20220710,7/10/22,19:00,20220709,Amb_Tank2,Temperature ramp,Adult,26.1,-72.4,37.11,NA,Cloudy/night,NA
20220710,7/10/22,19:00,20220709,High_Header,Temperature ramp,Adult,28.2,-66.7,37.01,NA,Cloudy/night,NA
20220710,7/10/22,19:00,20220709,High_Tank1,Temperature ramp,Adult,28.9,-75.4,37.14,NA,Cloudy/night,NA
20220710,7/10/22,19:00,20220709,High_Tank2,Temperature ramp,Adult,27.8,-76.4,37.11,NA,Cloudy/night,NA
20220711,7/11/22,19:00,20220709,Ambient_Header,Temperature ramp,Adult,26.6,-70.1,37.04,NA,Dusk,NA
20220711,7/11/22,19:00,20220709,Amb_Tank1,Temperature ramp,Adult,26.1,-73.8,37.08,NA,Dusk,NA
20220711,7/11/22,19:00,20220709,Amb_Tank2,Temperature ramp,Adult,26.1,-77.1,37.14,NA,Dusk,NA
20220711,7/11/22,19:00,20220709,High_Header,Temperature ramp,Adult,28.2,-71,37.09,NA,Dusk,NA
20220711,7/11/22,19:00,20220709,High_Tank1,Temperature ramp,Adult,29.9,-76.2,37.24,NA,Dusk,NA
20220711,7/11/22,19:00,20220709,High_Tank2,Temperature ramp,Adult,30.8,-75.6,37.2,NA,Dusk,NA
20220712,7/12/22,8:40,20220709,Ambient_Header,Temperature ramp,Adult,26.2,NA,NA,NA,"Sunny, some clouds",NA
20220712,7/12/22,8:40,20220709,Amb_Tank1,Temperature ramp,Adult,25.5,NA,NA,76,"Sunny, some clouds",NA
20220712,7/12/22,8:40,20220709,Amb_Tank2,Temperature ramp,Adult,24.9,NA,NA,53,"Sunny, some clouds",NA
20220712,7/12/22,8:40,20220709,High_Header,Temperature ramp,Adult,28.2,NA,NA,NA,"Sunny, some clouds",NA
20220712,7/12/22,8:40,20220709,High_Tank1,Temperature ramp,Adult,29.5,NA,NA,70,"Sunny, some clouds",NA
20220712,7/12/22,8:40,20220709,High_Tank2,Temperature ramp,Adult,29.8,NA,NA,46,"Sunny, some clouds",NA
20220712,7/12/22,20:00,20220709,Ambient_Header,Temperature ramp,Adult,26.7,NA,NA,NA,Night,NA
20220712,7/12/22,20:00,20220709,Amb_Tank1,Temperature ramp,Adult,26.3,NA,NA,NA,Night,NA
20220712,7/12/22,20:00,20220709,Amb_Tank2,Temperature ramp,Adult,26.2,NA,NA,NA,Night,NA
20220712,7/12/22,20:00,20220709,High_Header,Temperature ramp,Adult,29.1,NA,NA,NA,Night,NA
20220712,7/12/22,20:00,20220709,High_Tank1,Temperature ramp,Adult,20.5,NA,NA,NA,Night,NA
20220712,7/12/22,20:00,20220709,High_Tank2,Temperature ramp,Adult,30.6,NA,NA,NA,Night,NA
20220713,7/13/22,8:30,20220709,Ambient_Header,Exposure,Adult,26.3,-69.7,36.65,NA,Cloudy,NA
20220713,7/13/22,8:30,20220709,Amb_Tank1,Exposure,Adult,25.8,-71,36.66,77,Cloudy,NA
20220713,7/13/22,8:30,20220709,Amb_Tank2,Exposure,Adult,25.3,-70.8,36.56,67,Cloudy,NA
20220713,7/13/22,8:30,20220709,High_Header,Exposure,Adult,28.5,-71.4,36.51,NA,Cloudy,NA
20220713,7/13/22,8:30,20220709,High_Tank1,Exposure,Adult,29.9,-69.7,36.99,71,Cloudy,NA
20220713,7/13/22,8:30,20220709,High_Tank2,Exposure,Adult,29.9,-69.8,36.88,78,Cloudy,NA
20220713,7/13/22,14:45,20220709,Ambient_Header,Exposure,Adult,27,-72.6,36.62,NA,Cloudy,NA
20220713,7/13/22,14:45,20220709,Amb_Tank1,Exposure,Adult,27.6,-80.1,36.62,165,Cloudy,NA
20220713,7/13/22,14:45,20220709,Amb_Tank2,Exposure,Adult,27.3,-79,36.72,126,Cloudy,NA
20220713,7/13/22,14:45,20220709,High_Header,Exposure,Adult,30,-75.5,36.73,NA,Cloudy,NA
20220713,7/13/22,14:45,20220709,High_Tank1,Exposure,Adult,32,-80.7,36.94,112,Cloudy,NA
20220713,7/13/22,14:45,20220709,High_Tank2,Exposure,Adult,32.3,-80.8,37.02,117,Cloudy,NA
20220713,7/13/22,19:00,20220709,Ambient_Header,Exposure,Adult,26.5,NA,NA,NA,Dusk,NA
20220713,7/13/22,19:00,20220709,Amb_Tank1,Exposure,Adult,26.3,NA,NA,NA,Dusk,NA
20220713,7/13/22,19:00,20220709,Amb_Tank2,Exposure,Adult,26.4,NA,NA,NA,Dusk,NA
20220713,7/13/22,19:00,20220709,High_Header,Exposure,Adult,26.7,NA,NA,NA,Dusk,NA
20220713,7/13/22,19:00,20220709,High_Tank1,Exposure,Adult,29.6,NA,NA,NA,Dusk,NA
20220713,7/13/22,19:00,20220709,High_Tank2,Exposure,Adult,30,NA,NA,NA,Dusk,NA
20220714,7/14/22,8:00,20220709,Ambient_Header,Exposure,Adult,26.6,-71.1,36.47,NA,Cloudy,NA
20220714,7/14/22,8:00,20220709,Amb_Tank1,Exposure,Adult,26,-72.5,36.55,44,Cloudy,NA
20220714,7/14/22,8:00,20220709,Amb_Tank2,Exposure,Adult,25.5,-71.5,36.52,32,Cloudy,NA
20220714,7/14/22,8:00,20220709,High_Header,Exposure,Adult,28.9,-72.9,36.55,NA,Cloudy,NA
20220714,7/14/22,8:00,20220709,High_Tank1,Exposure,Adult,30.1,-71.5,36.78,35,Cloudy,NA
20220714,7/14/22,8:00,20220709,High_Tank2,Exposure,Adult,30.1,-70.7,36.72,39,Cloudy,NA
20220714,7/14/22,12:00,20220709,Ambient_Header,Exposure,Adult,27.2,-77.7,36.57,NA,"Sunny, some clouds",NA
20220714,7/14/22,12:00,20220709,Amb_Tank1,Exposure,Adult,27.8,-80.8,36.6,407,"Sunny, some clouds",NA
20220714,7/14/22,12:00,20220709,Amb_Tank2,Exposure,Adult,27.3,-79,36.61,499,"Sunny, some clouds",NA
20220714,7/14/22,12:00,20220709,High_Header,Exposure,Adult,30,-78.2,36.61,NA,"Sunny, some clouds",NA
20220714,7/14/22,12:00,20220709,High_Tank1,Exposure,Adult,32.6,-82.7,36.87,419,"Sunny, some clouds",NA
20220714,7/14/22,12:00,20220709,High_Tank2,Exposure,Adult,32.1,-81.8,36.8,404,"Sunny, some clouds",NA
20220715,7/15/22,18:45,20220709,Ambient_Header,Exposure,Adult,27.1,-74.9,36.73,NA,"Dusk, cloudy",NA
20220715,7/15/22,18:45,20220709,Amb_Tank1,Exposure,Adult,27.5,-80.4,36.79,NA,"Dusk, cloudy",NA
20220715,7/15/22,18:45,20220709,Amb_Tank2,Exposure,Adult,27.9,-81.5,36.73,NA,"Dusk, cloudy",NA
20220715,7/15/22,18:45,20220709,High_Header,Exposure,Adult,27.6,-73.3,36.77,NA,"Dusk, cloudy",NA
20220715,7/15/22,18:45,20220709,High_Tank1,Exposure,Adult,30.2,-82.8,37.06,NA,"Dusk, cloudy",NA
20220715,7/15/22,18:45,20220709,High_Tank2,Exposure,Adult,30.8,-81.8,36.99,NA,"Dusk, cloudy",NA
20220716,7/15/22,12:30,20220709,Ambient_Header,Exposure,Adult,26.9,-77.4,36.63,NA,Mostly cloudy,NA
20220716,7/15/22,12:30,20220709,Amb_Tank1,Exposure,Adult,27.2,-79.5,36.66,103,Mostly cloudy,NA
20220716,7/15/22,12:30,20220709,Amb_Tank2,Exposure,Adult,27,-79.5,36.69,76,Mostly cloudy,NA
20220716,7/15/22,12:30,20220709,High_Header,Exposure,Adult,27.1,-78.6,36.61,NA,Mostly cloudy,NA
20220716,7/15/22,12:30,20220709,High_Tank1,Exposure,Adult,30.9,-82.5,36.93,86,Mostly cloudy,NA
20220716,7/15/22,12:30,20220709,High_Tank2,Exposure,Adult,31.2,-81.2,36.98,85,Mostly cloudy,NA
