ID,Species,Genotype,Tape Color,Treatment Tank,Treatment,Timepoint Sampled,Metric,FileName,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,DateAnalyzed,Notes
1318,Pacuta,P-G4,White,High Tank 2,High,Day 5,Molecular,,,,,,,,,
1099,Pacuta,P-G4,White,Ambient Tank 2,Ambient,Day 7,Molecular,,,,,,,,,
1716,Pacuta,P-G4,White,High Tank 1,High,Day 7,Molecular,Molecular_Day7_HighTank1a_20220718.JPG,212.941,72.989,243.882,114.324,109.271,100.081,7/25/22,"Photos taken with JA GoPro, not super clear"
1045,Pacuta,P-G4,White,Ambient Tank 2,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank2a_20220714.JPG,165.227,38.23,151.044,114.863,101.138,81.894,7/15/22,"Photos taken with JA GoPro, not super clear"
1718,Mcapitata,M-G5,Blue,Ambient Tank 1,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank1a_20220716.JPG,175.692,49.3,154.546,142.681,113.947,72.319,7/17/22,"Photos taken with JA GoPro, not super clear"
2666,Mcapitata,M-G5,Blue,High Tank 2,High,Day 3,Molecular,Molecular_Day3_HighTank2d_20220714.JPG,193.198,52.846,184.174,94.51,74.293,39.987,7/15/22,"Photos taken with JA GoPro, not super clear"
1705,Mcapitata,M-G5,Blue,Ambient Tank 2,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank2b_20220712.JPG,246.33,83.82,230.806,128.937,99.806,68.093,7/13/22,"Photos taken with JA GoPro, not super clear"
1300,Mcapitata,M-G5,Blue,Ambient Tank 1,Ambient,Day 7,Molecular,Physiology_Day7_AmbTank1c_20220718.JPG,252.723,41.997,164.369,68.576,64.949,42.932,7/25/22,"Photos taken with JA GoPro, not super clear"
1166,Mcapitata,M-G5,Blue,High Tank 2,High,Day 1,Physiology,Physiology_Day1_HighTank2a_20220712.JPG,242.436,81.586,230.996,110.895,88.064,54.427,7/13/22,"Photos taken with JA GoPro, not super clear"
1628,Mcapitata,M-G5,Blue,Ambient Tank 1,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank1b_20220714.JPG,200.366,65.041,215.267,91.43,73.277,51.71,7/15/22,"Photos taken with JA GoPro, not super clear"
1723,Mcapitata,M-G5,Blue,Ambient Tank 2,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank2a_20220714.JPG,91.93,46.818,187.047,81.651,63.22,41.572,7/15/22,"Photos taken with JA GoPro, not super clear"
1555,Mcapitata,M-G5,Blue,High Tank 2,High,Day 7,Molecular,Physiology_Day7_HighTank2b_20220718.JPG,140.193,45.144,161.633,88.785,78.918,50.214,7/25/22,"Photos taken with JA GoPro, not super clear"
1221,Mcapitata,M-G5,Blue,High Tank 1,High,Day 1,Molecular,Molecular_Day1_HighTank2a_20220712.JPG,242.607,88.685,223.494,126.482,89.84,47.566,7/13/22,"Photos taken with JA GoPro, not super clear"
1336,Mcapitata,M-G5,Blue,High Tank 1,High,Day 3,Physiology ,Physiology_Day3_HighTank1d_20220714.JPG,172.572,41.664,196.48,111.43,90.227,61.128,7/15/22,"Photos taken with JA GoPro, not super clear"
1039,Mcapitata,M-G5,Blue,High Tank 2,High,Day 5,Physiology,Physiology_Day5_HighTank2d_20220716.JPG,209.635,50.765,200.746,108.477,81.823,53.449,7/18/22,"Photos taken with JA GoPro, not super clear"
1653,Mcapitata,M-G5,Blue,High Tank 1,High,Day 5,Molecular,Molecular_Day5_HighTank1c_20220716.JPG,239.466,81.194,212.366,123.979,88.034,48.09,7/16/22,"Photos taken with JA GoPro, not super clear"
1281,Mcapitata,M-G5,Blue,Ambient Tank 2,Ambient,Day 7,Physiology,,,,,,,,,
1176,Mcapitata,M-G5,Blue,High Tank 1,High,Day 7,Physiology,Physiology_Day7_AmbTank2e_20220718.JPG,199.761,66.312,227.706,79.771,61.723,40.94,7/25/22,"Photos taken with JA GoPro, not super clear"
1046,Mcapitata,M-G5,Blue,Ambient Tank 1,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank1b_20220712.JPG,184.448,39.514,129.479,126.51,86.951,47.124,7/13/22,"Photos taken with JA GoPro, not super clear"
1067,Mcapitata,M-G5,Blue,Ambient Tank 2,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank2b_20220716.JPG,158.953,35.673,147.201,116.697,97.784,65.862,7/16/22,"Photos taken with JA GoPro, not super clear"
2002,Mcapitata,M-G1,Orange,High Tank 1,High,Day 3,Physiology ,Physiology_Day3_HighTank1a_20220714.JPG,184.803,57.368,215.389,68.609,63.698,59.724,7/15/22,"Photos taken with JA GoPro, not super clear"
2853,Mcapitata,M-G1,Orange,Ambient Tank 1,Ambient,Day 3,Physiology ,Physiology_Day3_AmbTank1c_20220714.JPG,195.529,48.553,209.351,78.555,63.905,40.284,7/15/22,"Photos taken with JA GoPro, not super clear"
1749,Mcapitata,M-G1,Orange,High Tank 1,High,Day 5,Molecular,Molecular_Day5_HighTank1b_20220716.JPG,195.855,52.548,156.925,135.009,94.398,54.997,7/17/22,"Photos taken with JA GoPro, not super clear"
1825,Mcapitata,M-G1,Orange,Ambient Tank 1,Ambient,Day 7,Molecular,Physiology_Day7_AmbTank1c_20220718.JPG,252.723,41.997,164.369,71.167,66.101,43.263,7/25/22,"Photos taken with JA GoPro, not super clear"
1206,Mcapitata,M-G1,Orange,Ambient Tank 1,Ambient,Day 5,Physiology,Physiology_Day5_AmbTank1b_20220716.JPG,147.918,35.611,128.104,121,92.827,57.867,7/17/22,"Photos taken with JA GoPro, not super clear"
1265,Mcapitata,M-G1,Orange,High Tank 1,High,Day 1,Molecular,Molecular_Day1_HighTank2a_20220712.JPG,242.607,88.685,223.494,107.783,82.319,53.072,7/13/22,"Photos taken with JA GoPro, not super clear"
2026,Mcapitata,M-G1,Orange,High Tank 2,High,Day 3,Molecular,Molecular_Day3_HighTank2d_20220714.JPG,193.198,52.846,184.174,151.059,152.149,138.966,7/15/22,"Photos taken with JA GoPro, not super clear"
1304,Mcapitata,M-G1,Orange,Ambient Tank 1,Ambient,Day 1,Molecular,Molecular_Day1_AmbTank1a_20220712.JPG,232.589,59.693,190.554,123.539,86.288,48.638,7/13/22,"Photos taken with JA GoPro, not super clear"
1774,Mcapitata,M-G1,Orange,High Tank 2,High,Day 1,Physiology,Physiology_Day1_HighTank2a_20220712.JPG,242.436,81.586,230.996,156.068,146.824,130.591,7/13/22,"Photos taken with JA GoPro, not super clear"
2195,Mcapitata,M-G1,Orange,Ambient Tank 2,Ambient,Day 3,Molecular,Molecular_Day3_AmbTank2c_20220714.JPG,97.968,18.549,89.624,92.665,67.408,60.078,7/15/22,"Photos taken with JA GoPro, not super clear"
2668,Mcapitata,M-G1,Orange,High Tank 2,High,Day 5,DEAD (supposed to be for physiology),Physiology_Day5_HighTank2c_20220716.JPG,211.217,52.136,205.318,151.301,168.035,170.036,7/18/22,"Photos taken with JA GoPro, not super clear"
1291,Mcapitata,M-G1,Orange,High Tank 1,High,Day 7,Physiology,Physiology_Day7_HighTank1b_20220718.JPG,137.913,36.994,153.061,85.588,77.107,64.802,7/25/22,"Photos taken with JA GoPro, not super clear"
1154,Mcapitata,M-G1,Orange,Ambient Tank 2,Ambient,Day 1,Physiology,Physiology_Day1_AmbTank2b_20220712.JPG,246.33,83.82,230.806,119.995,93.448,69.154,7/13/22,"Photos taken with JA GoPro, not super clear"
1581,Mcapitata,M-G1,Orange,High Tank 2,High,Day 7,Molecular,M/P_Day7_HighTank2a_20220718.JPG,158.621,51.503,200.467,125.74,152.792,168.206,7/25/22,Dead/dying
1706,Mcapitata,M-G1,Orange,Ambient Tank 2,Ambient,Day 7,Physiology,Physiology_Day7_AmbTank2c_20220718.JPG,210.148,70.793,238.894,95.969,89.912,77.264,7/25/22,"Photos taken with JA GoPro, not super clear"
1494,Mcapitata,M-G1,Orange,Ambient Tank 2,Ambient,Day 5,Molecular,Molecular_Day5_AmbTank2b_20220716.JPG,158.953,35.673,147.201,113.719,91.274,57.18,7/16/22,"Photos taken with JA GoPro, not super clear"
